,"('A', 'R')","('B', 'R')","('C', 'R')","('D', 'R')","('E', 'R')","('R', 'A')","('R', 'B')","('R', 'C')","('R', 'D')","('R', 'E')"
0,637.03125,773.8181818181819,836.4193548387096,548.1428571428571,512.5555555555555,821.7575757575758,661.0930232558139,673.6470588235294,1293.5,686.8
1,955.9714285714285,921.125,771.825,595.0833333333334,856.5882352941177,855.0833333333334,764.6666666666666,865.030303030303,519.1428571428571,690.40625
2,695.3235294117648,659.3125,884.5,614.0,667.3333333333334,683.8571428571429,671.6190476190476,683.2647058823529,587.0,658.0526315789474
3,657.75,729.8571428571429,989.1153846153846,624.0,599.8055555555555,710.5,660.4,878.8260869565217,621.0,713.5806451612904
4,658.25,1106.3333333333333,992.0571428571428,610.0,578.258064516129,708.8333333333334,969.3888888888889,654.7586206896551,504.5,568.03125
5,666.6875,697.2631578947369,847.1346153846154,594.0,525.0384615384615,997.5333333333333,691.25,605.4,458.0,616.875
6,633.36,620.4883720930233,655.2142857142857,617.75,525.7058823529412,803.3541666666666,609.9767441860465,754.0909090909091,666.5833333333334,531.453125
7,611.2222222222222,609.0333333333333,596.4444444444445,523.1666666666666,549.1320754716982,745.1311475409836,576.3333333333334,556.0178571428571,458.25,514.9069767441861
8,661.3815789473684,618.0344827586207,554.2539682539683,505.8,586.3857142857142,644.6140350877193,562.7358490566038,522.5081967213115,465.5,566.171052631579
9,581.5230769230769,587.2741935483871,534.0,502.23333333333335,534.8977272727273,644.8965517241379,599.695652173913,501.51666666666665,538.7692307692307,566.3088235294117
10,578.6901408450705,606.2682926829268,527.1447368421053,561.1388888888889,505.80434782608694,708.35,691.0487804878048,677.2931034482758,537.5769230769231,608.1923076923077
11,576.4857142857143,626.3142857142857,522.7164179104477,504.6521739130435,479.4923076923077,708.6984126984127,669.1466666666666,557.3725490196078,479.11764705882354,701.4150943396227
12,584.8875,580.972602739726,617.516129032258,485.75,526.5479452054794,612.4153846153846,509.72093023255815,506.4807692307692,535.4666666666667,508.6666666666667
13,658.9137931034483,668.1875,530.2,515.8260869565217,463.35616438356163,641.1964285714286,597.955223880597,698.2156862745098,492.1764705882353,493.17241379310343
14,575.5735294117648,605.5,523.3461538461538,724.6153846153846,468.8135593220339,660.044776119403,583.9782608695652,532.0441176470588,628.4285714285714,612.8703703703703
15,601.2297297297297,576.8939393939394,535.068493150685,491.05555555555554,517.2236842105264,676.0545454545454,518.0,554.0983606557377,466.2,522.9344262295082
16,613.9855072463768,617.25,542.1176470588235,699.1176470588235,563.1166666666667,812.9344262295082,677.9642857142857,726.6734693877551,456.4166666666667,624.1481481481482
17,592.7083333333334,606.3571428571429,544.3508771929825,535.6666666666666,483.9756097560976,839.3030303030303,575.344262295082,631.7924528301887,499.27272727272725,593.3174603174604
18,662.1449275362319,617.4307692307692,638.2142857142857,504.44444444444446,492.88732394366195,797.6610169491526,561.8703703703703,575.9142857142857,487.375,554.327868852459
19,656.1641791044776,673.0185185185185,558.843137254902,521.6,500.06349206349205,708.9583333333334,723.6363636363636,637.7755102040817,517.4166666666666,656.952380952381
20,624.6065573770492,616.6166666666667,610.65625,674.7058823529412,555.8666666666667,882.8333333333334,739.5166666666667,679.2115384615385,508.6666666666667,612.3018867924528
21,625.3125,607.8548387096774,566.5942028985507,540.2,561.6428571428571,794.7377049180328,649.8333333333334,698.9814814814815,644.1904761904761,620.3076923076923
22,652.4,690.6521739130435,644.1851851851852,525.6923076923077,546.0,854.0508474576271,616.2567567567568,697.734693877551,527.7058823529412,613.1621621621622
23,728.5576923076923,807.5111111111111,654.0217391304348,549.5,534.4,846.5,598.7,560.8285714285714,526.75,707.9038461538462
